,Latitude,Longitude
5313755,40.82518926,-73.876472041
5313833,40.761776919,-73.865955169
5313872,40.846636369,-73.91605332399999
5313911,40.660924258,-73.949201871
5314019,40.676921496,-73.909943415
5314075,40.705342791,-73.948911947
5314512,40.602424541,-73.765582216
5314665,40.691249927,-73.80599238100001
5314764,40.689949528,-73.852685565
5314829,40.734732647,-73.89784952800001
5314872,40.630428285,-73.968207674
5314909,40.682733884,-73.948370411
5314947,40.687297021,-73.782714177
5314965,40.870517061,-73.863360453
5315005,40.719275504,-73.943663182
5315082,40.633278237,-74.153410745
5315178,40.689201653000005,-73.913572365
5315197,40.73359224,-73.95651095699999
5315200,40.808383203000005,-73.942886972
5315252,40.81532727,-73.915865216
5315298,40.601445003,-73.964760788
5315327,40.712367439,-73.765736637
5315387,40.837252351,-73.871505832
5315388,40.718589164,-73.943357128
5315517,40.767573879000004,-73.895131284
5315791,40.825734869,-73.923190605
5315892,40.760662764,-73.798292758
5315924,40.62674268,-74.10765840399999
5316046,40.706037871,-73.92938069899999
5316070,40.655111532,-73.733094067
5316174,40.721105843000004,-73.98954302899999
5316188,40.614957821,-74.086651357
5316259,40.687966105,-73.96471867300001
5316291,40.572295462,-74.096858356
5316295,40.682690584,-73.83329307300001
5316309,40.840018409,-73.87343400399999
5316313,40.750856057,-73.78044239399999
5316353,40.734327786,-73.92045262
5316379,40.691542559,-73.827750153
5316388,40.66979809,-73.949115807
5316407,40.878053859,-73.863243713
5316484,40.623688822,-74.15065813300001
5316543,40.684954103,-73.961633839
5316586,40.850660186999995,-73.908920209
5316587,40.850660186999995,-73.908920209
5316611,40.644966529,-73.97580769
5316614,40.881126906999995,-73.864716452
5316652,40.678646284,-73.94132521600001
5316697,40.631532774,-73.988587921
5316718,40.680701735999996,-73.771594916
5316812,40.74850566,-73.885979796
5316831,40.876454642,-73.886935597
5316850,40.683023334,-73.906751486
5316885,40.857010331,-73.883310302
5317256,40.688801126,-73.934710368
5317313,40.741726431,-73.983137939
5317390,40.716834735999996,-73.962138557
5317448,40.782979395,-73.952001128
5317596,40.60377844,-73.759286046
5317679,40.649110551,-73.973096203
5317690,40.635544182,-74.021651685
5317711,40.635767239,-73.914880994
5317721,40.684810851,-73.868147066
5317809,40.66778065,-73.75235388899999
5317857,40.577071073,-74.001635755
5317863,40.815669883000005,-73.936565681
5317909,40.772627514,-73.923797026
5317940,40.860135451,-73.869476909
5318008,40.774890466,-73.978789712
5318050,40.689095496,-73.870612218
5318065,40.833449518,-73.940509332
5318147,40.765222836,-73.909499123
5318201,40.850660186999995,-73.908920209
5318368,40.798618991,-73.952275183
5318609,40.771478181999996,-73.829572408
5318906,40.723781301,-73.983680033
5318944,40.876278978,-73.836532212
5319234,40.690440838,-73.795259837
5319294,40.748825544,-73.768145637
5319295,40.685511092,-73.757094417
5319305,40.762223567,-73.79618711
5319318,40.613590507,-74.005461745
5319335,40.704884765,-73.820476983
5319414,40.687579708,-73.958351068
5319504,40.630004907,-73.94467523
5319754,40.62467828,-74.03056766
5319961,40.667109203,-73.746523994
